日付,時間,時間帯,カテゴリ,商品,数量,価格設定,商品番号（SKU）,適用済みカスタマイズ,総売上高,ディスカウント,純売上高,税金,注文ID,支払いID,デバイス名,メモ,レシート詳細,支払/払戻,店舗,ダイニングオプション,顧客ID,顧客名,顧客リファレンスID,単位,件数,GTIN,商品の種類,発送メモ,チャネル,トークン,カード種別,使用カード末尾4桁
2026/01/01,00:07:00,日本,ドリンク,テスト商品_SKU0004,1,,SKU0004,,645,0,581,64,OID000001,PID000001,iPad,,https://example.test/txn/1,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,00:14:00,日本,ドリンク,テスト商品_SKU0008,4,,SKU0008,,2556,0,2300,256,OID000002,PID000002,iPad,,https://example.test/txn/2,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,00:21:00,日本,ドリンク,テスト商品_SKU0023,2,,SKU0023,,920,0,828,92,OID000003,PID000003,iPad,,https://example.test/txn/3,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,00:28:00,日本,ドリンク,テスト商品_SKU0009,2,,SKU0009,,924,0,832,92,OID000004,PID000004,iPad,,https://example.test/txn/4,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,00:35:00,日本,ドリンク,テスト商品_SKU0001,5,,SKU0001,,3420,0,3078,342,OID000005,PID000005,iPad,,https://example.test/txn/5,取引,TestShop,,,,,単価,5,,通常,,POS,,VISA,1234
2026/01/01,00:42:00,日本,ドリンク,テスト商品_SKU0004,1,,SKU0004,,773,0,696,77,OID000006,PID000006,iPad,,https://example.test/txn/6,取引,TestShop,,,,,単価,1,,通常,,POS,,VISA,1234
2026/01/01,00:49:00,日本,ドリンク,テスト商品_SKU0016,-1,,SKU0016,,-777,0,-699,-78,OID000007,PID000007,iPad,返品,https://example.test/txn/7,払い戻し,TestShop,,,,,単価,-1,,通常,,POS,,VISA,1234
2026/01/01,00:56:00,日本,ドリンク,テスト商品_SKU0028,4,,SKU0028,,2564,0,2308,256,OID000008,PID000008,iPad,,https://example.test/txn/8,取引,TestShop,,,,,単価,4,,通常,,POS,,VISA,1234
2026/01/01,01:03:00,日本,ドリンク,テスト商品_SKU0001,2,,SKU0001,,1376,0,1238,138,OID000009,PID000009,iPad,,https://example.test/txn/9,取引,TestShop,,,,,単価,2,,通常,,POS,,VISA,1234
2026/01/01,01:10:00,日本,ドリンク,テスト商品_abc123,-3,,abc123,,-1860,0,-1674,-186,OID000010,PID000010,iPad,返品,https://example.test/txn/10,払い戻し,TestShop,,,,,単価,-3,,通常,,POS,,VISA,1234
2026/01/01,01:17:00,日本,ドリンク,テスト商品_SKU0023,-2,,SKU0023,,-768,0,-691,-77,OID000011,PID000011,iPad,返品,https://example.test/txn/11,払い戻し,TestShop,,,,,単価,-2,,通常,,POS,,VISA,1234
